deployed_strategy,strategy_type,deployability,macro_f1_mean,macro_f1_std,pr_auc_mean,pr_auc_std,far_mean,far_std,mdr_mean,mdr_std,far_at_95_recall_mean,average_rank,win_count,top2_count,average_regret,worst_case_regret,average_normalized_regret,n_scenarios,generated_at,output_path
Framework-Best-F1,framework_strategy,DEPLOYABLE,0.7734610330411829,0.1747196125302034,0.861138559092834,0.1471951511555478,0.1777394341290892,0.1482633213484362,0.2515924624226348,0.2534777215393167,0.4803268346595932,2.665,160,293,0.11481343032587232,1.0,0.1438401949281672,100,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Balanced,framework_strategy,DEPLOYABLE,0.7730015561708667,0.1748343900856317,0.8608469365746783,0.1475915500390569,0.1742458443854995,0.1470099023756637,0.2555668213969937,0.2557702685671932,0.4801986295313881,2.675,160,293,0.11512139748068256,1.0,0.144647487296092,100,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Safety,framework_strategy,DEPLOYABLE,0.7383730860880147,0.1963101814937493,0.8576262894199559,0.152900912274797,0.3218254199823165,0.2715510303518881,0.154418854995579,0.2386709596768237,0.4786793987621574,6.39,129,170,0.13619157908892676,1.0,0.1871301816571978,100,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Low-False-Alarm,framework_strategy,DEPLOYABLE,0.7503388516866178,0.1912620053097629,0.8590358311440011,0.1489431029030516,0.0871663572060123,0.1080185228702171,0.3653009725906277,0.2964200763648876,0.4879652961980548,6.408333333333333,106,158,0.12690351596295085,1.0,0.17197426869223262,100,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Robust,framework_strategy,DEPLOYABLE,0.7714453892534234,0.1765838035825452,0.8585306181732898,0.1508944313497831,0.1801432802829354,0.151757419572847,0.2530027188328912,0.2549339484533037,0.4801345269672856,2.9033333333333333,153,277,0.11692285214372385,1.0,0.14947082063052644,100,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Deployment,framework_strategy,DEPLOYABLE,0.7704818599308072,0.1758682541410298,0.8586067556101951,0.1502597278125675,0.1744570291777187,0.1434182582722833,0.260644938107869,0.2574375323728036,0.4853859858532272,3.1166666666666667,141,268,0.11763369215759187,1.0,0.15200872900736662,100,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Label-Efficient,framework_strategy,DEPLOYABLE,0.7730015561708667,0.1748343900856317,0.8608469365746783,0.1475915500390569,0.1742458443854995,0.1470099023756637,0.2555668213969937,0.2557702685671932,0.4801986295313881,2.675,160,293,0.11512139748068256,1.0,0.144647487296092,100,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-LightGBM,fixed_model_strategy,DEPLOYABLE,0.7853701241815099,0.1612608638010851,0.8765718937196254,0.1314418024630024,0.1691596630834379,0.1339048465413694,0.2401724835962585,0.2394522140885933,0.4822874493927125,3.998245614035088,96,221,0.11049879289900869,1.0,0.13816960879025303,95,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-XGBoost,fixed_model_strategy,DEPLOYABLE,0.760957515226559,0.1746510800581528,0.8605680360796103,0.1394496442570992,0.1818429894364558,0.1365793327630929,0.2696041230396946,0.2592968488706795,0.5154395039322445,8.1,50,86,0.13113165099686366,1.0,0.17576470437202288,95,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-RandomForest,fixed_model_strategy,DEPLOYABLE,0.7444351570530119,0.1829205496587074,0.8349170177952164,0.1501352505248933,0.1894650984224486,0.1525807778772719,0.2911058448508539,0.2668007599767407,0.5166879333612546,7.554385964912281,93,134,0.14895595281063698,1.0,0.21428925038956873,95,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-IsolationForest,fixed_model_strategy,DEPLOYABLE,0.4843053160724274,0.076029031836414,0.5122134655701954,0.0902249936223652,0.5926221043324491,0.2162622340773757,0.3656014367816091,0.2411131507164021,0.9030888152077808,12.245,14,26,0.4065565440893044,1.0,0.638183598234089,100,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-AutoEncoder,fixed_model_strategy,DEPLOYABLE,0.5479761028680797,0.0355572591666869,0.5501502850844263,0.0396780940518456,0.5150659445918067,0.1095833094880843,0.3739224137931033,0.0970363672773637,0.9132847038019452,11.541666666666666,8,16,0.3370775997060276,0.8879310344827587,0.5336830869599242,60,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-LSTM-AE,fixed_model_strategy,DEPLOYABLE,0.4848025818789907,0.0449820269828917,0.5459851670175567,0.0378853136201655,0.2017029546124372,0.0834121634699083,0.7428179339817272,0.0899892114756361,0.9650604185086944,13.005555555555556,4,9,0.3677953920223308,0.9807692307692308,0.5963475250357577,60,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-USAD,fixed_model_strategy,DEPLOYABLE,0.5478415344589508,0.0371601989365251,0.5628319810251629,0.0386556487570256,0.4778413277335691,0.1161726637146846,0.4128168287651046,0.1191058595264782,0.9087496315944592,11.463888888888889,11,22,0.3343582673515665,0.8577586206896551,0.5215146676400401,60,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Oracle-Best-Test,oracle_not_deployable,ORACLE_NOT_DEPLOYABLE,0.8083493900291221,0.1399141124230004,0.875210673335663,0.130319205174637,0.1682799513704685,0.1453216188997624,0.2067851237842616,0.1812924770419248,0.4679280282935455,1.7683333333333333,472,535,0.08900660716893183,0.9487179487179488,0.1017859777038341,100,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
